Change Type,Record Type,Input Name,TTL,Record Data
Add,A+PTR,test.example.,200,1.1.1.1
Add,A,test1.example.,200,1.2.3.4
Add,AAAA+PTR,test2.example.,200,fd69:27cc:fe91::60
Add,AAAA,test3.example.com.,200,fd69:27cc:fe91::60
Add,CNAME,test4.example.com.,200,test0.example.com.
Add,PTR,192.0.2.193,200,test.example.com.
DeleteRecordSet,A+PTR,test5.example.com.,,1.1.1.1
DeleteRecordSet,A,test6.exmaple.com.,,
DeleteRecordSet,AAAA+PTR,test7.example.com.,,fd69:27cc:fe91::60
DeleteRecordSet,CNAME,test8.example.com.,,
DeleteRecordSet,PTR,193.0.2.192,,
